file,variable,latitude,longitude,ecco_mean,omg_mean,difference
CTD_20160916_152547.nc,SALT,76.54753875732422,-74.03031158447266,33.66154,34.01485,0.35330963
CTD_20160924_184444.nc,SALT,73.62181854248047,-58.00141906738281,33.684074,34.262806,0.57873154
CTD_20160924_164636.nc,SALT,72.24394226074219,-58.547821044921875,33.367302,33.928272,0.5609703
CTD_20160914_140842.nc,SALT,70.98692321777344,-56.181060791015625,33.502064,34.175255,0.6731911
CTD_20160919_103843.nc,SALT,73.87767028808594,-18.016870498657227,33.512268,34.121323,0.60905457
CTD_20160923_152417.nc,SALT,81.11044311523438,-62.13706970214844,33.168625,33.887524,0.7188988
CTD_20160913_152643.nc,SALT,64.10706329345703,-53.22467041015625,33.739525,34.253048,0.5135231
CTD_20160924_180521.nc,SALT,73.07792663574219,-58.98640060424805,33.611305,34.25044,0.63913345
CTD_20160929_141211.nc,SALT,71.945068359375,-21.572460174560547,33.51435,34.030037,0.51568604
CTD_20160924_160742.nc,SALT,73.18962860107422,-62.573429107666016,33.63032,34.155968,0.5256462
CTD_20160921_112603.nc,SALT,77.55322265625,-15.455860137939453,33.329433,33.53251,0.20307541
CTD_20160914_121319.nc,SALT,69.2605209350586,-59.08258056640625,33.708824,34.29687,0.588047
CTD_20160916_123311.nc,SALT,68.37175750732422,-55.62213134765625,33.712807,34.132515,0.41970825
CTD_20160921_112128.nc,SALT,77.28082275390625,-15.233920097351074,33.28509,33.41361,0.12851715
CTD_20160928_154917.nc,SALT,75.94892883300781,-60.439361572265625,32.490997,33.980717,1.4897194
CTD_20160916_145103.nc,SALT,75.84780883789062,-69.34266662597656,33.65189,34.19529,0.5433998
CTD_20160923_163350.nc,SALT,78.36917114257812,-73.61444091796875,33.28225,33.693142,0.4108925
CTD_20160928_134526.nc,SALT,74.11335754394531,-56.47211837768555,31.90485,34.15369,2.2488403
CTD_20160924_154631.nc,SALT,74.03315734863281,-62.52777099609375,33.618965,34.20309,0.5841255
CTD_20160924_171848.nc,SALT,72.9395980834961,-55.62314987182617,32.905235,34.266174,1.360939
CTD_20160920_111204.nc,SALT,76.37444305419922,-16.79054069519043,33.394135,34.04476,0.65062714
CTD_20160923_152021.nc,SALT,80.9990005493164,-61.32299041748047,33.168625,34.327587,1.1589622
CTD_20160920_104035.nc,SALT,75.3404312133789,-15.34652042388916,33.210228,33.4985,0.28827286
CTD_20160928_145132.nc,SALT,75.18546295166016,-58.26137161254883,31.958435,33.47492,1.5164833
CTD_20160915_164446.nc,SALT,70.36614990234375,-50.795440673828125,32.843575,34.1917,1.3481255
CTD_20160928_151457.nc,SALT,75.60061645507812,-59.79729080200195,33.33422,34.095947,0.7617264
CTD_20160920_105734.nc,SALT,75.7161636352539,-18.600900650024414,33.245148,33.86764,0.62249374
CTD_20160915_161939.nc,SALT,70.61602020263672,-51.961151123046875,33.642426,34.303356,0.66093063
CTD_20160914_130330.nc,SALT,70.65934753417969,-58.91387176513672,33.539326,34.271282,0.7319565
CTD_20160915_153637.nc,SALT,70.8405532836914,-53.64358901977539,33.66652,34.16611,0.49959183
CTD_20160916_121551.nc,SALT,68.61138153076172,-53.895999908447266,33.75979,34.145004,0.38521576
CTD_20160921_102953.nc,SALT,74.84977722167969,-12.002249717712402,34.503216,34.873734,0.37051773
CTD_20160921_113706.nc,SALT,77.9930191040039,-16.84140968322754,33.26814,33.976772,0.7086334
